"ID","Name","Published Date","Video Views","Engagement Score","Video Percent Viewed" 
"5813155306001","Jeff Wong Leadership During Dynamic Change  June 2018","2018-07-24T13:19:00.388Z","3","43.94","131.82"
"5813161978001","Economic and regulatory drivers","2018-07-24T13:26:44.602Z","1","0","0"
"5813742995001","Exceptional Client Service | Kevin McKenzie, Global Client Service Partner, Royal Bank of Canada","2018-07-25T18:24:32.057Z","4","85.38","341.54"
"5814045614001","Supply Chain Smart Factory","2018-07-26T11:05:02.456Z","0","0","0"
"5814090930001","CPR Campaign_ Supply chain reinventing your framework","2018-07-26T13:15:13.278Z","0","0","0"
"5814418344001","New capabilities, new offerings","2018-07-27T04:16:16.524Z","3","41.26","123.78"
"5814418345001","Overcoming obstacles","2018-07-27T04:16:22.674Z","1","2.07","2.07"
"5814424366001","Innovation as a service ","2018-07-27T04:31:48.762Z","3","57.2","171.61"
"5814420999001","Distribution optimization: what, why, how","2018-07-27T04:37:52.595Z","1","75.56","75.56"
"5814424455001","Agents and innovation ","2018-07-27T04:45:07.421Z","2","38.92","77.83"
"5814429663001","Economic and regulatory drivers ","2018-07-27T04:52:44.851Z","1","3.29","3.29"
"5814430365001","C-suite agenda and outlook ","2018-07-27T04:58:21.186Z","1","200.92","200.92"
"5814430412001","Growth in emerging markets","2018-07-27T05:09:31.116Z","1","65.28","65.28"
"5814458729001","Joana Valente_How EY is working with Government in Digital_May 2018","2018-07-27T06:37:57.106Z","0","0","0"
"5814587182001","3. 1804-2670026 Supply Chain Reinvention 5-14-18_mp4_Brightcove_1000kbps","2018-07-27T12:06:14.048Z","0","0","0"
"5814642284001","Global Business Services","2018-07-27T14:21:37.494Z","2","7.58","15.16"
"5814756766001","ETU PAS presentations 2018","2018-07-27T18:30:17.999Z","1","0.18","0.18"
"5815453266001","Innovation as a service","2018-07-30T04:14:08.256Z","0","0","0"
"5815456987001","New capabilities. New offerings. New business models","2018-07-30T04:16:29.352Z","0","0","0"
"5815451221001","New operating models","2018-07-30T04:18:46.387Z","0","0","0"
"5815632682001","July 2018 Monthly flash news","2018-07-30T13:11:57.992Z","0","0","0"
"5815659011001","Knowledge at EY","2018-07-30T14:06:12.851Z","3","24.21","72.62"
"5816516361001","What's happening in the global WAM market?","2018-08-01T09:51:40.963Z","3","37.74","113.21"
"5816519178001","The opportunity for WAM in Asia-Pacific","2018-08-01T10:01:52.647Z","0","0","0"
"5816524215001","Why do clients choose EY","2018-08-01T10:05:18.484Z","0","0","0"
"5816516561001","Five ways to future-proof financial advice","2018-08-01T10:12:39.199Z","0","0","0"
"5816525345001","Industry Convergence Lab","2018-08-01T10:14:08.907Z","0","0","0"
"5816523485001","How much do you know about financial advice","2018-08-01T10:16:13.913Z","0","0","0"
"5816529832001","Why should wealth managers become financial therapists","2018-08-01T10:17:46.635Z","0","0","0"
"5816526939001","audit innovation from EY Wealth & Asset Management","2018-08-01T10:22:00.238Z","0","0","0"
"5816522328001","revolutionizing the fund audit","2018-08-01T10:29:03.107Z","0","0","0"
"5816535324001","Questions that will change investing","2018-08-01T10:54:17.760Z","0","0","0"
"5816798673001","webcast_2018-07-31-1300_podcast-its-washington-jul-2018","2018-08-01T22:03:12.968Z","0","0","0"
"5819034987001","Business meetings – VR Platform (Slide 19)","2018-08-07T13:58:39.903Z","2","84.09","168.18"
"5819099578001","POWER Up video EY","2018-08-07T16:20:27.370Z","0","0","0"
"5819450609001","Wealth Management Client Onboarding ","2018-08-08T10:45:12.871Z","0","0","0"
"5819522616001","Jen Arnolie interviews Lena Förster, EY Corporate Finance Woman of the Year","2018-08-08T13:34:55.584Z","0","0","0"
"5819707168001","EY_PPEDD_Curriculum_Teaser 2 210518 Original","2018-08-08T20:59:13.784Z","0","0","0"
"5821334482001","Consumer Goods Forum Global Summit 2018 FCN presentation","2018-08-13T08:08:00.133Z","0","0","0"
"5821354214001","What does financial well-being mean to you","2018-08-13T09:00:52.488Z","1","49.72","49.72"
"5821475367001","Cyle 1 Module 1_9 August 2018","2018-08-13T14:47:34.852Z","0","0","0"
"5821889039001","Wayne - Working Capital External","2018-08-14T11:24:25.699Z","2","2.05","4.11"
"5822052142001","Cycle 1 Module 2_14 August 2018","2018-08-14T17:53:24.216Z","3","0.35","1.06"
"5823258037001","Cities moving cars off the road","2018-08-17T07:40:54.750Z","0","0","0"
"5823307101001","03 INSURANCE - 2018 CHANGES v2","2018-08-17T10:18:45.526Z","0","0","0"
"5823308570001","INSURANCE - 2018","2018-08-17T10:19:10.930Z","0","0","0"
"5824258661001","Digital Disconnect Mining","2018-08-20T06:58:30.743Z","4","86.14","344.55"
"5824329041001","EY-QUADS Video","2018-08-20T10:49:22.976Z","0","0","0"
"5824329157001","RPA contracts video","2018-08-20T10:49:34.931Z","0","0","0"
"5824461435001","Odyssey_subtitled_EYGno04116-184GBL_EDNone","2018-08-20T16:54:39.809Z","0","0","0"
"5825209653001","Cycle 1 Module 3_21 August 2018","2018-08-22T07:03:47.804Z","0","0","0"
"5825360375001","Digital Enterprise Transformation Being Digital","2018-08-22T14:30:26.759Z","0","0","0"
"5825360290001","Digital Enterprise Transformation Digital Trust","2018-08-22T14:30:26.762Z","0","0","0"
"5825351141001","Digital Enterprise Transformation Experience Thinking","2018-08-22T14:30:27.106Z","0","0","0"
"5825362174001","Digital Enterprise Transformation Platform Thinking","2018-08-22T14:30:27.110Z","0","0","0"
"5825359576001","Digital Enterprise Transformation Digitizing Legacy","2018-08-22T14:30:27.149Z","0","0","0"
"5821325107001","World Retail Congress 2018 VIP leadership program session","2018-08-24T08:27:23.035Z","0","0","0"
"5827206844001","EMEIA FSO Tax and Legal Dashboard","2018-08-27T06:35:50.291Z","0","0","0"
"5827211756001","A transformation journey for an insurance leader","2018-08-27T07:02:13.980Z","1","17.72","17.72"
"5827211762001","Greenfield transformation for insurers","2018-08-27T07:03:50.440Z","2","14.9","29.81"
"5827216629001","Organizational tolerance for transformation","2018-08-27T07:05:51.488Z","0","0","0"
"5827211341001","Challenges in achieving cost excellence","2018-08-27T07:49:03.164Z","0","0","0"
"5827216036001","Navigating the cost excellence roadmap","2018-08-27T07:50:35.857Z","0","0","0"
"5827213645001","Three ways to achieve cost excellence","2018-08-27T07:50:56.288Z","0","0","0"
"5827218028001","Key components of Connected Tax","2018-08-27T07:55:41.193Z","1","3.04","3.04"
"5827206901001","Harnessing the power of digital","2018-08-27T07:56:04.082Z","1","3","3"
"5827214618001","Customer journeys and the role of marketing","2018-08-27T07:56:20.933Z","4","25.56","102.23"
"5827213129001","Demystifying the Future of Work","2018-08-27T07:59:59.481Z","1","3.98","3.98"
"5827214639001","IFRS 17 timeline and enablers","2018-08-27T08:00:48.998Z","0","0","0"
"5827218041001","IFRS 17 compliance, cohorts and their impact","2018-08-27T08:00:59.223Z","0","0","0"
"5827208798001","IFRS 17 and beyond data models and automation","2018-08-27T08:01:00.890Z","0","0","0"
"5827213147001","IFRS 17 and the transformation opportunity","2018-08-27T08:01:44.435Z","0","0","0"
"5827216067001","The need for Connected Tax","2018-08-27T08:01:49.126Z","2","52.1","104.21"
"5827206995001","Transformation trends","2018-08-27T08:03:37.223Z","5","42.46","212.29"
"5827216042001","Why EY for digital transformation","2018-08-27T08:04:08.201Z","3","38.57","115.7"
"5827211348001","Future of work - key considerations","2018-08-27T08:04:37.023Z","1","3.68","3.68"
"5827417474001","Canadian MLP Journey","2018-08-27T17:58:52.498Z","0","0","0"
"5827428512001","Industry insight – Consumer Products & Retail","2018-08-27T18:07:44.640Z","5","20","100"
